title_levenshtein,title_jaccard,author_jaccard,author_overlap_count,year_diff
1.0,1.0,0.7,14,10
0.5,0.5454545454545454,0.7,14,10
0.2878787878787879,0.0,0.0,0,10
0.5666666666666667,0.10526315789473684,0.0,0,10
0.34394904458598724,0.05555555555555555,0.022727272727272728,1,10
0.4444444444444444,0.16666666666666666,0.0,0,10
0.21621621621621623,0.0,0.03125,1,10
1.0,1.0,0.6551724137931034,19,0
0.7789473684210526,0.625,0.6551724137931034,19,0
0.22,0.08333333333333333,0.0,0,2
0.22448979591836735,0.08333333333333333,0.0,0,1
0.37593984962406013,0.0,0.0,0,3
0.2727272727272727,0.0,0.0,0,1
0.22972972972972974,0.0,0.0,0,1
1.0,1.0,1.0,16,0
0.9795918367346939,0.7142857142857143,1.0,16,0
0.22,0.0,0.0,0,4
0.37777777777777777,0.0,0.0,0,4
0.37362637362637363,0.1,0.0,0,2
0.2608695652173913,0.0,0.0,0,1
0.27522935779816515,0.08333333333333333,0.0,0,0
1.0,1.0,0.8518518518518519,23,0
0.5185185185185185,0.4,0.8518518518518519,23,0
0.34782608695652173,0.09090909090909091,0.0,0,2
0.2830188679245283,0.0,0.0,0,2
0.46,0.2,0.0,0,1
0.13793103448275862,0.0,0.0,0,6
0.4132231404958678,0.15384615384615385,0.0,0,2
1.0,1.0,0.8,8,0
0.704,0.5,0.8,8,0
0.3308270676691729,0.0625,0.0,0,0
0.2982456140350877,0.07692307692307693,0.0,0,2
0.32653061224489793,0.0625,0.0,0,0
0.4678362573099415,0.25,0.045454545454545456,1,0
0.25,0.125,0.0,0,2
1.0,1.0,0.8148148148148148,22,1
0.9726027397260274,0.6363636363636364,0.8148148148148148,22,1
0.31666666666666665,0.07692307692307693,0.0,0,9
0.3953488372093023,0.05263157894736842,0.025,1,1
0.21875,0.0,0.0,0,2
0.31137724550898205,0.0,0.36666666666666664,11,1
0.45161290322580644,0.2,0.0,0,1
1.0,1.0,1.0,2,0
0.6578947368421053,0.6,1.0,2,0
0.16352201257861634,0.0,0.0,0,9
0.3120567375886525,0.15384615384615385,0.0,0,8
0.32558139534883723,0.07692307692307693,0.0,0,10
